time,u1,u2,y1(FMU1),y2(FMU2)
0.0,1.0,10.0,1.0,11.0
0.1,1.0,10.0,12.0,22.0
0.2,1.0,10.0,23.0,33.0
0.3,1.0,10.0,34.0,44.0
0.4,1.0,10.0,45.0,55.0
